,UserId,AssignmentId,Fig1,Fig2,Fig3,Fig4,Fig5,Fig6,Fig7,Fig8,Fig9,Fig10
1,A15GDVKMYRUPRC,3LWJHTCVCDUCBHAP7XK1M7JCJWBFQQ,True,True,True,True,True,True,True,True,True,True
2,A15VCKELIEEPJN,3D3VGR7TA1NH769W0H8ZQO4KCTE3RE,False,True,True,True,True,False,True,False,False,True
3,A160X70DIV96VM,3TY7ZAOG5GSZ3AX4RAHJNEKZEOUK0Z,True,True,True,True,True,True,True,True,True,True
4,A167SYXGXFU7C8,382M9COHEINCXWHATVK0EQV1AHCEUO,True,True,True,True,True,True,False,True,False,False
5,A173XG3NZ7JPT7,3P1L2B7AD2XVQX75EVVVSFTW1RFLOT,True,True,True,True,True,True,False,True,True,True
6,A1GOT0DXTYCM4E,3WJ1OXY92BOB9MTLANH9MFNLSAC8AV,True,True,True,True,False,True,True,False,True,True
7,A1IQV3QUWRA8G1,3X66WABAJXQQIG0IK6ENRKQDAJXG3N,False,True,True,True,False,True,True,True,True,True
8,A1VFRCYMWGWWCZ,3R6BYFZZP8KWKEB1TBFTGFF5GZXXF4,True,True,True,True,True,True,True,True,True,True
9,A1XAFKGJBBH6S5,3DHE4R9OCXJ1XY4ZG60I8ALL45XG2C,False,True,True,True,True,True,True,True,True,True
10,A2090SRVQLWA3F,3TUI152ZZCVLL2GH0Y5GX5FIIMY1QH,False,True,True,True,True,True,True,True,True,False
11,A2148LZC82UBIX,3WYGZ5XF3XNZ4JHG0C03XKQI9GGKSP,True,True,True,True,True,True,True,True,True,True
12,A22DL4DE4DYB0,33SA9F9TRY2PP06FOVZ1WEGYVWCEWA,True,True,True,True,True,True,True,True,False,True
13,A24KGCLUZK6KGT,3S96KQ6I9NCS5DOLXVJ63CRERQYDTV,True,True,True,True,True,True,True,True,False,True
14,A2BARVYSCEIJN1,3M0BCWMB8W4RIXUVE4XBV6ADSZ3WBW,False,True,True,True,True,False,False,True,True,True
15,A2JBNDG0U9IA6I,3QHK8ZVMINQB73IWAQQ9MVTXUSVBLE,True,True,True,True,True,True,True,True,True,True
16,A2NXMRPHG86N2T,358010RM5F1LGBXRTQKXY1IR4TLXVS,True,True,True,True,True,True,True,True,False,False
17,A2S3LYU7D14KFE,35GMH2SV3FPHKRXDX98RFK3CSUFOEA,True,True,True,True,True,True,True,True,True,True
18,A2W5BVSBD1G08A,3TXWC2NHN0YFNNYPWF9E7BC2YM1S90,False,True,True,True,True,True,True,True,False,True
19,A2Z0XILU6M38BT,3QJOXOW4XKZTKOC1KTTENGE7XU2MEV,True,True,True,True,True,True,True,True,False,True
20,A30N06918JH6X1,3YDTZAI2WYOEWXTJ21Y3U2EDMUA41W,True,True,True,True,False,True,False,True,True,True
21,A31XNLA9REVGXL,3OLQQLKKNTX3JG6GHWGM7OMQT03EJF,True,True,True,True,True,True,True,True,True,False
22,A3AXW00MYWGQF9,3DBQWDE4Y76Z6N48LTFBW1XUPRBN5T,True,True,True,False,True,False,True,True,True,True
23,A3KNO82DZ519HG,31EUONYN2WBYM2JZSZX1FORYSPGVOL,True,True,True,True,False,True,True,True,True,True
24,A3O4WYGKH31OX,3QAVNHZ3ENC6OTD44CQDRK9RCAGLAZ,False,True,True,True,True,True,True,True,True,True
25,A3PK3Z1LPKK4KV,39O5D9O87U0D14KDIKI41T5YCR93C4,True,True,True,True,True,True,True,True,True,True
26,A3SL5QRF7MX2P1,3DI28L7YXBMWOZQCR7AG3OQ4ZJA1E5,True,True,True,True,False,True,True,True,True,True
27,A3V5ZWYFPIENOI,37M28K1J0RL0T3P41RE0B5WZ8LAAJL,True,True,True,False,True,True,False,True,False,True
28,AEKNKYFP4VEHM,3EA3QWIZ4J39DO47P9KHU97RJV4IT0,False,True,True,True,True,False,True,False,True,True
29,A26QUOLUXNKP3U,3ZAZR5XV02QEMXR63RDD5UADRQYCZ8,True,True,True,True,False,True,True,True,True,True
30,A1BWS5AD2T4NIR,3EKVH9QMEZCYLEU8EGZA2PIORH42DJ,False,True,True,True,True,True,False,True,False,True
31,A3MKKWVXXPR71,39ZSFO5CA94K8C327WVRB68TFSMJUY,True,True,True,True,True,True,True,True,False,True
32,A2U0XDH72EN978,38SKSKU7R25LUBW2G0IQ8IXAPM0ILN,True,True,True,True,True,True,True,True,False,True
33,A19S4W3QLLQJ0T,3WQQ9FUS6B2GSWYDG1H5HQ7RAV7B89,False,True,True,True,True,True,False,True,True,True
34,A1F3P6N7BO9HBN,3ZPPDN2SLW4ED4T7VKP9IU8NXYW9EQ,False,True,True,True,True,True,True,True,True,True
35,A1SQJODGLZ8XEA,3NL0RFNU0GVG2YF5AB4LZHACV3AK4L,False,False,True,True,True,True,True,True,True,True
36,A3V8IWD99YI1KW,3KRVW3HTZOTUU7HJLODJCXIMYO8MSZ,False,True,True,True,True,True,True,True,True,True
37,A2V49JNWY4D8E0,3IAEQB9FMFSKXUSFS0OHQWYDVNBWD5,True,True,False,True,True,True,True,True,True,True
38,A2ULYTT4RRUUVC,320DUZ38G8U13U27NR6A7R726JIGJ4,True,True,True,False,True,True,True,True,True,True
39,A2FXD55FJV1RSV,3EA3QWIZ4J39DO47P9KHU97RJYZIT1,True,True,True,True,True,True,True,True,True,True
40,A3D9P4E7HHD68M,3QAVNHZ3ENC6OTD44CQDRK9RCD6ALK,False,True,True,True,True,True,True,True,True,True
41,A3OWHW7XYQU52K,3TAYZSBPLMG4N3DQB6UZXO4OSJN2SK,True,True,True,True,True,True,True,True,True,True
42,A1X2J73SSA05TD,3IX2EGZR7CRSSKBL320M6VL98SPJRZ,False,True,True,True,True,True,True,False,True,True
43,A1FG2G9TZSDN,3N4BPTXIO90FJW9KPHV3CL86UGTUKD,True,False,True,True,True,True,True,True,True,True
44,A1DQPM5CVDL4Q5,3SNLUL3WO5VQ32R2AH74RLLLJGYLU7,True,True,True,True,True,True,False,True,False,True
